11-02 13:48:50: Training starting...
11-02 13:48:51: New best reward 12.0 (-100.0%) at episode 0, saving model...
11-02 13:48:51: New best reward 25.0 (+108.3%) at episode 1, saving model...
11-02 13:48:51: New best reward 34.0 (+36.0%) at episode 3, saving model...
11-02 13:48:51: New best reward 37.0 (+8.8%) at episode 4, saving model...
11-02 13:48:51: New best reward 52.0 (+40.5%) at episode 7, saving model...
11-02 13:48:51: New best reward 53.0 (+1.9%) at episode 18, saving model...
11-02 13:48:51: New best reward 54.0 (+1.9%) at episode 48, saving model...
11-02 13:48:51: New best reward 58.0 (+7.4%) at episode 59, saving model...
11-02 13:48:51: New best reward 68.0 (+17.2%) at episode 64, saving model...
11-02 13:48:51: New best reward 74.0 (+8.8%) at episode 209, saving model...
11-02 13:48:53: New best reward 102.0 (+37.8%) at episode 1186, saving model...
11-02 13:48:54: New best reward 107.0 (+4.9%) at episode 1992, saving model...
11-02 13:48:55: New best reward 117.0 (+9.3%) at episode 2160, saving model...
11-02 13:48:55: New best reward 132.0 (+12.8%) at episode 2371, saving model...
11-02 13:48:56: New best reward 138.0 (+4.5%) at episode 2655, saving model...
11-02 13:48:56: New best reward 142.0 (+2.9%) at episode 2737, saving model...
11-02 13:48:58: New best reward 166.0 (+16.9%) at episode 3140, saving model...
11-02 13:49:00: New best reward 169.0 (+1.8%) at episode 3712, saving model...
11-02 13:49:00: New best reward 173.0 (+2.4%) at episode 3809, saving model...
11-02 13:49:03: New best reward 195.0 (+12.7%) at episode 5219, saving model...
11-02 13:49:03: New best reward 307.0 (+57.4%) at episode 5227, saving model...
11-02 13:49:03: New best reward 402.0 (+30.9%) at episode 5268, saving model...
11-02 13:49:06: New best reward 555.0 (+38.1%) at episode 5907, saving model...
11-02 13:49:06: New best reward 624.0 (+12.4%) at episode 5918, saving model...
11-02 13:49:06: New best reward 891.0 (+42.8%) at episode 5928, saving model...
11-02 13:49:17: New best reward 909.0 (+2.0%) at episode 8450, saving model...
11-02 13:49:18: New best reward 1092.0 (+20.1%) at episode 8466, saving model...
11-02 13:49:18: New best reward 1801.0 (+64.9%) at episode 8490, saving model...
